tag,count,company,possible parent
hotels,933,,
store,926,,
direct,924,,
luxury,920,,
global ziff davis,917,,
2020,916,,
nissan,914,,
q,914,,
appnexus,913,,
interest & intent,911,,
dma,910,,
seniority,909,,
shopping & retail,907,,
female,903,,
company size,903,,
indonesia,902,,
gravy analytics,902,,
content type,902,,
35,901,,
ec,901,,
us data axle,900,,
latam,898,,
content relevance,897,,
high spenders,891,,
singapore,889,,
fashion & accessories,889,,
allemployees,889,,
alikeaudience japan,889,,
contextual,887,,
2018,887,,
sociodemographic,887,,
businesswatch & consumerwatch network,886,,
mastercard us geo segment,883,,
meritdirect,880,,
health and wellness,877,,
international_apac,876,,
of,874,,
l,871,,
thailand,868,,
total buyers,865,,
finances,861,,
lexisnexis,859,,
modeled,854,,
10,853,,
malaysia,853,,
male,850,,
powerb2b by meritdirect,849,,
us 180bytwo,849,,
world localities,847,,
hobbies,845,,
44,845,,
consumer technology,843,,
odcqaappnexuscookies,841,,
fast food,840,,
dollars spent,839,,
5,837,,
mastercard,837,,
inclusion targeting only,834,,
exposure to advertisements,831,,
age & gender,831,,
az direct,827,,
construction,821,,
odcqaappnexusmaids,818,,
lifestyles,813,,
footwear,812,,
chile,812,,
modeling,812,,
apac,812,,
inmarket,812,,
florida,809,,
aliments,806,,
bmw,802,,
top spending geography,802,,
hardware,801,,
33across,801,,
purchase behaviors,798,,
hong kong,795,,
india,795,,
autos and vehicles,794,,
telecommunications,793,,
beauty,789,,
hcp,786,,
the weather channel,785,,
usa,779,,
new york,779,,
fmcg sub category,778,,
d&b,777,,
au nielsen,777,,
"ca, fr, de, uk, au, hk",776,,
audi,775,,
vietnam,773,,
make/model,773,,
enthusiast,772,,
honda,771,,
interest from social activity,770,,
category,769,,
24,768,,
ny,768,,
activities,760,,
iri shopcom proscores cpg,760,,
exelate ﾃ甘ｳ窶｢ﾃ甘ｺﾂｨ,760,,
technographics,758,,
l2 political,757,,
spend,756,,
actalike,755,,
digital,754,,
all,753,,
personal care,753,,
telco,753,,
mercedes,752,,
oracle addthis,750,,
cpg food and beverage,750,,
search,746,,
any,743,,
addthis,738,,
covid,738,,
small business,733,,
latin america,729,,
49,728,,
maxpoint,728,,
career,727,,
bluekangaroo,726,,
us ixi,725,,
la,724,,
acxiom retail,724,,
news,722,,
audience,722,,
kantar,721,,
c,719,,
global bombora,718,,
frequently transacting geography,718,,
denmark,716,,
food & beverages,715,,
title,715,,
technology & computing,713,,
new movers,713,,
pernod ricard,712,,
alcohol,708,,
government,707,,
food & beverage,707,,
computers & electronics,703,,
syndicate,703,,
black friday,702,,
64,699,,
earned audiences,698,,
regular buyer,698,,
body styles,697,,
eat and drink,697,,
claritas auto,696,,
south korea,695,,
regularbuyer,695,,
heavy buyer,695,,
