,provider_name,provider_id,id,name,name_list
100856,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868144,oracle country-specific audiences > spain > media & entertainment > video games > games > traditional > card games (bluekai),"['oracle country', 'specific audiences', 'spain', 'media & entertainment', 'video games', 'games', 'traditional', 'card games', 'bluekai']"
100860,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868151,oracle country-specific audiences > spain > media & entertainment > video games > platforms > sony > vita & psp (bluekai),"['oracle country', 'specific audiences', 'spain', 'media & entertainment', 'video games', 'platforms', 'sony', 'vita & psp', 'bluekai']"
101055,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868385,oracle country-specific audiences > france (fr) > business (b2b) > employee attributes > management level > executives > c-level executives (bluekai),"['oracle country', 'specific audiences', 'france', 'fr', 'business', 'b2b', 'employee attributes', 'management level', 'executives', 'c', 'level executives', 'bluekai']"
101056,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868388,oracle country-specific audiences > france (fr) > business (b2b) > employee attributes > management level > executives > directors (bluekai),"['oracle country', 'specific audiences', 'france', 'fr', 'business', 'b2b', 'employee attributes', 'management level', 'executives', 'directors', 'bluekai']"
101057,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868390,oracle country-specific audiences > france (fr) > business (b2b) > employee attributes > management level > executives > presidents and vice presidents (bluekai),"['oracle country', 'specific audiences', 'france', 'fr', 'business', 'b2b', 'employee attributes', 'management level', 'executives', 'presidents and vice presidents', 'bluekai']"
101058,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868391,oracle country-specific audiences > france > b2b > demographic > occupations & job functions > healthcare > nurses (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'demographic', 'occupations & job functions', 'healthcare', 'nurses', 'bluekai']"
101059,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868392,oracle country-specific audiences > france > b2b > demographic > occupations & job functions > healthcare > pharmacists (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'demographic', 'occupations & job functions', 'healthcare', 'pharmacists', 'bluekai']"
101060,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868395,oracle country-specific audiences > france > b2b > demographic > occupations & job functions > healthcare > therapists (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'demographic', 'occupations & job functions', 'healthcare', 'therapists', 'bluekai']"
101061,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868396,oracle country-specific audiences > france > b2b > demographic > occupations & job functions > healthcare > dentists (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'demographic', 'occupations & job functions', 'healthcare', 'dentists', 'bluekai']"
101062,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868398,oracle country-specific audiences > france > b2b > demographic > occupations & job functions > healthcare > doctors (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'demographic', 'occupations & job functions', 'healthcare', 'doctors', 'bluekai']"
101063,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868400,"oracle country-specific audiences > france > b2b > firmographic > industry > business & professional services > accounting, auditing & legal (bluekai)","['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'business & professional services', 'accounting, auditing & legal', 'bluekai']"
101064,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868402,oracle country-specific audiences > france > b2b > firmographic > industry > financial & insurance services > investment banking (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'financial & insurance services', 'investment banking', 'bluekai']"
101065,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868403,oracle country-specific audiences > france > b2b > firmographic > industry > financial & insurance services > securities & commodities brokerage (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'financial & insurance services', 'securities & commodities brokerage', 'bluekai']"
101066,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868404,oracle country-specific audiences > france > b2b > firmographic > industry > financial & insurance services > wealth management (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'financial & insurance services', 'wealth management', 'bluekai']"
101067,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868405,oracle country-specific audiences > france > b2b > firmographic > industry > financial & insurance services > banking & credit (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'financial & insurance services', 'banking & credit', 'bluekai']"
101068,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868408,oracle country-specific audiences > france > b2b > firmographic > industry > financial & insurance services > fund management (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'financial & insurance services', 'fund management', 'bluekai']"
101069,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868409,oracle country-specific audiences > france > b2b > firmographic > industry > financial & insurance services > insurance (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'financial & insurance services', 'insurance', 'bluekai']"
101070,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868410,oracle country-specific audiences > france > b2b > firmographic > industry > education > colleges & universities (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'education', 'colleges & universities', 'bluekai']"
101071,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868411,oracle country-specific audiences > france > b2b > firmographic > industry > education > schools (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'education', 'schools', 'bluekai']"
101072,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868414,oracle country-specific audiences > france > b2b > firmographic > industry > business & professional services > advertising & market research (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'business & professional services', 'advertising & market research', 'bluekai']"
101073,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868415,oracle country-specific audiences > france > b2b > firmographic > industry > business & professional services > architecture & engineering (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'business & professional services', 'architecture & engineering', 'bluekai']"
101074,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868416,oracle country-specific audiences > france > b2b > firmographic > industry > business & professional services > management consulting (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'business & professional services', 'management consulting', 'bluekai']"
